side,firstblood,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,firstdragon,firstherald,firsttower,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,firstbaron,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,result
1,0.0,-315.0,-329.0,22.0,2.0,2.0,4.0,0.0,0.0,0.0,-2144.0,-377.0,38.0,3.0,2.0,10.0,-4377.0,-1290.0,11.0,5.0,8.0,13.0,0.0,-5898.0,-2940.0,15.0,7.0,14.0,17.0,0
0,1.0,315.0,329.0,-22.0,4.0,8.0,2.0,1.0,1.0,1.0,2144.0,377.0,-38.0,10.0,18.0,3.0,4377.0,1290.0,-11.0,13.0,30.0,5.0,1.0,5898.0,2940.0,-15.0,17.0,41.0,7.0,1
1,1.0,-1066.0,-1507.0,-5.0,2.0,3.0,3.0,0.0,0.0,0.0,-3266.0,-3681.0,-38.0,3.0,6.0,8.0,-4606.0,-3634.0,-62.0,5.0,9.0,12.0,0.0,-5495.0,-5216.0,-97.0,5.0,9.0,12.0,0
0,0.0,1066.0,1507.0,5.0,3.0,8.0,2.0,1.0,1.0,1.0,3266.0,3681.0,38.0,8.0,21.0,3.0,4606.0,3634.0,62.0,12.0,29.0,5.0,1.0,5495.0,5216.0,97.0,12.0,29.0,5.0,1
1,1.0,656.0,140.0,-12.0,4.0,5.0,2.0,0.0,1.0,1.0,2717.0,1857.0,-18.0,10.0,18.0,4.0,6796.0,5877.0,6.0,14.0,25.0,4.0,1.0,12060.0,8885.0,-1.0,21.0,48.0,5.0,1
0,0.0,-656.0,-140.0,12.0,2.0,3.0,4.0,1.0,0.0,0.0,-2717.0,-1857.0,18.0,4.0,8.0,10.0,-6796.0,-5877.0,-6.0,4.0,8.0,14.0,0.0,-12060.0,-8885.0,1.0,5.0,11.0,21.0,0
1,1.0,-487.0,-576.0,-18.0,0.0,0.0,0.0,1.0,1.0,0.0,-804.0,318.0,1.0,2.0,7.0,2.0,41.0,1072.0,-8.0,5.0,14.0,4.0,1.0,1767.0,2053.0,0.0,9.0,26.0,6.0,1
0,0.0,487.0,576.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,804.0,-318.0,-1.0,2.0,7.0,2.0,-41.0,-1072.0,8.0,4.0,14.0,5.0,0.0,-1767.0,-2053.0,0.0,6.0,19.0,9.0,0
1,0.0,1026.0,-166.0,8.0,2.0,2.0,1.0,0.0,1.0,1.0,3399.0,930.0,1.0,5.0,4.0,1.0,5022.0,2845.0,-1.0,6.0,6.0,1.0,0.0,,,,,,,1
0,1.0,-1026.0,166.0,-8.0,1.0,1.0,2.0,1.0,0.0,0.0,-3399.0,-930.0,-1.0,1.0,1.0,5.0,-5022.0,-2845.0,1.0,1.0,1.0,6.0,0.0,,,,,,,0
1,0.0,657.0,45.0,25.0,0.0,0.0,0.0,1.0,0.0,1.0,158.0,16.0,40.0,0.0,0.0,2.0,-788.0,-781.0,30.0,2.0,7.0,4.0,1.0,796.0,1844.0,44.0,3.0,10.0,4.0,1
